Date,Message
2026-08-07T21:57:00.000+01:00,GCLOSEHDR;1970-01-01 01:00;2026-08-10 03:28;304;517;8
2026-08-07T21:57:00.000+01:00,GCLOSE;1;AUDCHF;A1:13;2026-08-03 03:27;2026-08-03 03:28;1;short;2026-08-03 03:16
2026-08-07T21:57:00.000+01:00,GCLOSE;2;GBPAUD;A2:14;2026-08-03 03:37;2026-08-03 03:38;1;short;2026-08-03 03:10
2026-08-07T21:57:00.000+01:00,GCLOSE;3;EURCHF;A1:13;2026-08-03 03:38;2026-08-03 03:43;2;short;2026-08-03 03:24
2026-08-07T21:57:00.000+01:00,GCLOSE;4;EURAUD;B2:28;2026-08-03 04:47;2026-08-03 04:48;1;short;2026-08-03 03:40
2026-08-07T21:57:00.000+01:00,GCLOSE;5;EURGBP;A2:14;2026-08-03 05:01;2026-08-03 05:02;1;long;2026-08-03 05:00
2026-08-07T21:57:00.000+01:00,GCLOSE;6;EURCAD;A2:14;2026-08-03 05:00;2026-08-03 05:02;2;long;2026-08-03 04:53
2026-08-07T21:57:00.000+01:00,GCLOSE;7;GBPJPY;A1:13;2026-08-03 04:33;2026-08-03 05:08;2;short;2026-08-03 04:24
2026-08-07T21:57:00.000+01:00,GCLOSE;8;GBPJPY;A2:14;2026-08-03 05:54;2026-08-03 05:55;1;long;2026-08-03 05:29
2026-08-07T21:57:00.000+01:00,GCLOSE;9;EURJPY;A2:14;2026-08-03 06:07;2026-08-03 06:08;1;short;2026-08-03 05:56
2026-08-07T21:57:00.000+01:00,GCLOSE;10;USDCHF;A2:14;2026-08-03 06:32;2026-08-03 06:33;1;short;2026-08-03 06:23
2026-08-07T21:57:00.000+01:00,GCLOSE;11;EURAUD;A2:14;2026-08-03 07:00;2026-08-03 07:01;1;short;2026-08-03 06:48
2026-08-07T21:57:00.000+01:00,GCLOSE;12;AUDCAD;A2:14;2026-08-03 07:01;2026-08-03 07:02;1;long;2026-08-03 06:35
2026-08-07T21:57:00.000+01:00,GCLOSE;13;GBPUSD;A2:14;2026-08-03 07:25;2026-08-03 07:26;1;short;2026-08-03 06:36
2026-08-07T21:57:00.000+01:00,GCLOSE;14;AUDCHF;B2:28;2026-08-03 07:56;2026-08-03 07:57;1;long;2026-08-03 07:55
2026-08-07T21:57:00.000+01:00,GCLOSE;15;CADJPY;A2:14;2026-08-03 05:56;2026-08-03 08:13;7;short;2026-08-03 05:41
2026-08-07T21:57:00.000+01:00,GCLOSE;16;AUDJPY;A2:14;2026-08-03 08:12;2026-08-03 08:13;1;short;2026-08-03 08:11
2026-08-07T21:57:00.000+01:00,GCLOSE;17;GBPAUD;A2:14;2026-08-03 09:47;2026-08-03 09:48;1;long;2026-08-03 09:35
2026-08-07T21:57:00.000+01:00,GCLOSE;18;USDCHF;A2:14;2026-08-03 09:23;2026-08-03 10:49;5;short;2026-08-03 08:47
