Date,Message
2026-08-05T17:31:00.000+01:00,MAR1GSOPEN;CADCHF;B2;08-05 16:54;0;
2026-08-05T17:31:00.000+01:00,MAR1GSOPEN;CADCHF;C2;08-05 16:55;0;
2026-08-05T17:32:00.000+01:00,MAR1GSOPEN;CADCHF;B2;08-05 16:54;0;
2026-08-05T17:32:00.000+01:00,MAR1GSOPEN;CADCHF;C2;08-05 16:55;0;
2026-08-05T17:33:00.000+01:00,MAR1GSOPEN;CADCHF;B2;08-05 16:54;0;
2026-08-05T17:33:00.000+01:00,MAR1GSOPEN;CADCHF;C2;08-05 16:55;0;
2026-08-05T17:34:00.000+01:00,MAR1GSOPEN;CADCHF;B2;08-05 16:54;0;
2026-08-05T17:34:00.000+01:00,MAR1GSOPEN;CADCHF;C2;08-05 16:55;0;
2026-08-05T17:35:00.000+01:00,MAR1GSOPEN;CADCHF;B2;08-05 16:54;0;
2026-08-05T17:35:00.000+01:00,MAR1GSOPEN;CADCHF;C2;08-05 16:55;0;
2026-08-05T17:36:00.000+01:00,MAR1GSOPEN;CADCHF;B2;08-05 16:54;0;
2026-08-05T17:36:00.000+01:00,MAR1GSOPEN;CADCHF;C2;08-05 16:55;0;
2026-08-05T17:37:00.000+01:00,MAR1GSOPEN;CADCHF;B2;08-05 16:54;0;
2026-08-05T17:37:00.000+01:00,MAR1GSOPEN;CADCHF;C2;08-05 16:55;0;
2026-08-05T17:38:00.000+01:00,MAR1GSOPEN;CADCHF;B2;08-05 16:54;0;
2026-08-05T17:38:00.000+01:00,MAR1GSOPEN;CADCHF;C2;08-05 16:55;0;
2026-08-05T17:39:00.000+01:00,MAR1GSOPEN;CADCHF;B2;08-05 16:54;0;
2026-08-05T17:39:00.000+01:00,MAR1GSOPEN;CADCHF;C2;08-05 16:55;0;
2026-08-05T17:40:00.000+01:00,MAR1GSOPEN;CADCHF;B2;08-05 16:54;0;
2026-08-05T17:40:00.000+01:00,MAR1GSOPEN;CADCHF;C2;08-05 16:55;0;
2026-08-05T17:41:00.000+01:00,MAR1GSOPEN;CADCHF;B2;08-05 16:54;0;
2026-08-05T17:41:00.000+01:00,MAR1GSOPEN;CADCHF;C2;08-05 16:55;0;
2026-08-05T17:42:00.000+01:00,MAR1GSOPEN;CADCHF;B2;08-05 16:54;0;
2026-08-05T17:42:00.000+01:00,MAR1GSOPEN;CADCHF;C2;08-05 16:55;0;
2026-08-05T17:43:00.000+01:00,MAR1GSOPEN;CADCHF;B2;08-05 16:54;0;
2026-08-05T17:43:00.000+01:00,MAR1GSOPEN;CADCHF;C2;08-05 16:55;0;
2026-08-05T17:44:00.000+01:00,MAR1GSOPEN;CADCHF;B2;08-05 16:54;0;
2026-08-05T17:44:00.000+01:00,MAR1GSOPEN;CADCHF;C2;08-05 16:55;0;
2026-08-05T17:45:00.000+01:00,MAR1GSOPEN;CADCHF;B2;08-05 16:54;0;
2026-08-05T17:45:00.000+01:00,MAR1GSOPEN;CADCHF;C2;08-05 16:55;0;
2026-08-05T17:46:00.000+01:00,MAR1GSOPEN;CADCHF;B2;08-05 17:46;1;08-05 17:46
2026-08-05T17:46:00.000+01:00,MAR1GSOPEN;CADCHF;C2;08-05 17:46;1;08-05 17:46
2026-08-05T17:46:00.000+01:00,MAR1GSOPEN;CADCHF;D2;08-05 17:46;0;
2026-08-05T17:47:00.000+01:00,"MAR1GSCLOSE;CADCHF;B2;08-05 17:46;08-05 17:48;2;short;08-05 17:46,08-05 17:47"
2026-08-05T17:47:00.000+01:00,"MAR1GSCLOSE;CADCHF;C2;08-05 17:46;08-05 17:48;2;short;08-05 17:46,08-05 17:47"
2026-08-05T17:47:00.000+01:00,MAR1GSCLOSE;CADCHF;D2;08-05 17:47;08-05 17:48;1;short;08-05 17:47
2026-08-05T19:23:00.000+01:00,MAR1GSOPEN;CADCHF;B1;08-05 19:23;0;
2026-08-05T19:23:00.000+01:00,MAR1GSOPEN;CADCHF;B2;08-05 19:23;0;
2026-08-05T19:24:00.000+01:00,MAR1GSOPEN;CADCHF;B1;08-05 19:23;0;
2026-08-05T19:24:00.000+01:00,MAR1GSOPEN;CADCHF;B2;08-05 19:23;0;
2026-08-05T19:25:00.000+01:00,MAR1GSOPEN;CADCHF;B1;08-05 19:23;0;
2026-08-05T19:25:00.000+01:00,MAR1GSOPEN;CADCHF;B2;08-05 19:23;0;
2026-08-05T19:26:00.000+01:00,MAR1GSOPEN;CADCHF;B1;08-05 19:23;0;
2026-08-05T19:26:00.000+01:00,MAR1GSOPEN;CADCHF;B2;08-05 19:23;0;
2026-08-05T19:27:00.000+01:00,MAR1GSOPEN;CADCHF;B1;08-05 19:23;0;
2026-08-05T19:27:00.000+01:00,MAR1GSOPEN;CADCHF;B2;08-05 19:23;0;
2026-08-05T19:28:00.000+01:00,MAR1GSOPEN;CADCHF;B1;08-05 19:23;0;
2026-08-05T19:28:00.000+01:00,MAR1GSOPEN;CADCHF;B2;08-05 19:23;0;
2026-08-05T19:29:00.000+01:00,MAR1GSOPEN;CADCHF;B1;08-05 19:23;0;
2026-08-05T19:29:00.000+01:00,MAR1GSOPEN;CADCHF;B2;08-05 19:23;0;
2026-08-05T19:30:00.000+01:00,MAR1GSOPEN;CADCHF;B1;08-05 19:23;0;
2026-08-05T19:30:00.000+01:00,MAR1GSOPEN;CADCHF;B2;08-05 19:23;0;
2026-08-05T19:31:00.000+01:00,MAR1GSOPEN;CADCHF;B1;08-05 19:23;0;
2026-08-05T19:31:00.000+01:00,MAR1GSOPEN;CADCHF;B2;08-05 19:23;0;
2026-08-05T19:32:00.000+01:00,MAR1GSOPEN;CADCHF;B1;08-05 19:23;0;
2026-08-05T19:32:00.000+01:00,MAR1GSOPEN;CADCHF;B2;08-05 19:23;0;
2026-08-05T19:33:00.000+01:00,MAR1GSOPEN;CADCHF;B1;08-05 19:23;0;
