Date,Message
2026-08-04T07:48:00.000+01:00,MAR1GSOPEN;AUDJPY;B1;08-03 17:12;0;
2026-08-04T07:51:00.000+01:00,MAR1GSOPEN;AUDJPY;A2;08-03 17:12;1;08-03 17:12
2026-08-04T07:51:00.000+01:00,MAR1GSOPEN;AUDJPY;B1;08-03 17:12;0;
2026-08-04T07:54:00.000+01:00,MAR1GSOPEN;AUDJPY;A2;08-03 17:12;1;08-03 17:12
2026-08-04T07:54:00.000+01:00,MAR1GSOPEN;AUDJPY;B1;08-03 17:12;0;
2026-08-04T07:57:00.000+01:00,MAR1GSOPEN;AUDJPY;A2;08-03 17:12;1;08-03 17:12
2026-08-04T07:57:00.000+01:00,MAR1GSOPEN;AUDJPY;B1;08-03 17:12;0;
2026-08-04T08:00:00.000+01:00,MAR1GSOPEN;AUDJPY;A2;08-03 17:12;1;08-03 17:12
2026-08-04T08:00:00.000+01:00,MAR1GSOPEN;AUDJPY;B1;08-03 17:12;0;
2026-08-04T08:03:00.000+01:00,MAR1GSOPEN;AUDJPY;A2;08-03 17:12;1;08-03 17:12
2026-08-04T08:03:00.000+01:00,MAR1GSOPEN;AUDJPY;B1;08-03 17:12;0;
2026-08-04T08:06:00.000+01:00,MAR1GSOPEN;AUDJPY;A2;08-03 17:12;1;08-03 17:12
2026-08-04T08:06:00.000+01:00,MAR1GSOPEN;AUDJPY;B1;08-03 17:12;0;
2026-08-04T08:09:00.000+01:00,MAR1GSOPEN;AUDJPY;A2;08-03 17:12;1;08-03 17:12
2026-08-04T08:09:00.000+01:00,MAR1GSOPEN;AUDJPY;B1;08-03 17:12;0;
2026-08-04T08:12:00.000+01:00,MAR1GSOPEN;AUDJPY;A2;08-03 17:12;1;08-03 17:12
2026-08-04T08:12:00.000+01:00,MAR1GSOPEN;AUDJPY;B1;08-03 17:12;0;
2026-08-04T08:15:00.000+01:00,MAR1GSOPEN;AUDJPY;A2;08-03 17:12;1;08-03 17:12
2026-08-04T08:15:00.000+01:00,MAR1GSOPEN;AUDJPY;B1;08-03 17:12;0;
2026-08-04T08:18:00.000+01:00,"MAR1GSOPEN;AUDJPY;A2;08-03 17:12;2;08-03 17:12,08-04 08:18"
2026-08-04T08:18:00.000+01:00,MAR1GSOPEN;AUDJPY;B1;08-04 08:18;1;08-04 08:18
2026-08-04T08:18:00.000+01:00,MAR1GSOPEN;AUDJPY;C2;08-04 08:18;0;
2026-08-04T08:21:00.000+01:00,"MAR1GSCLOSE;AUDJPY;A2;08-03 17:12;08-04 08:24;3;long;08-03 17:12,08-04 08:18,08-04 08:21"
2026-08-04T08:21:00.000+01:00,"MAR1GSCLOSE;AUDJPY;B1;08-04 08:18;08-04 08:24;2;long;08-04 08:18,08-04 08:21"
2026-08-04T08:21:00.000+01:00,MAR1GSCLOSE;AUDJPY;C2;08-04 08:21;08-04 08:24;1;long;08-04 08:21
2026-08-04T13:45:00.000+01:00,MAR1GSOPEN;AUDJPY;A2;08-04 13:45;0;
2026-08-04T13:48:00.000+01:00,MAR1GSOPEN;AUDJPY;A2;08-04 13:45;0;
2026-08-04T13:51:00.000+01:00,MAR1GSOPEN;AUDJPY;A2;08-04 13:45;0;
2026-08-04T13:54:00.000+01:00,MAR1GSOPEN;AUDJPY;A2;08-04 13:45;0;
2026-08-04T13:57:00.000+01:00,MAR1GSOPEN;AUDJPY;A2;08-04 13:45;0;
2026-08-04T14:00:00.000+01:00,MAR1GSOPEN;AUDJPY;A2;08-04 13:45;0;
2026-08-04T14:03:00.000+01:00,MAR1GSOPEN;AUDJPY;A2;08-04 13:45;0;
2026-08-04T14:06:00.000+01:00,MAR1GSOPEN;AUDJPY;A2;08-04 13:45;0;
2026-08-04T14:09:00.000+01:00,MAR1GSOPEN;AUDJPY;A2;08-04 13:45;0;
2026-08-04T14:12:00.000+01:00,MAR1GSOPEN;AUDJPY;A2;08-04 13:45;0;
2026-08-04T14:15:00.000+01:00,MAR1GSOPEN;AUDJPY;A2;08-04 13:45;0;
